FREQ,AMP_MULT,DLY,PHASE
796.728516,0.749474,319,-36.211150
818.261719,0.783805,307,-35.790840
839.794922,0.730123,296,-35.416548
861.328125,0.653683,285,-34.974762
882.861328,0.604458,274,-34.465480
904.394531,0.553892,263,-33.888704
925.927734,0.523952,253,-33.376354
947.460938,0.523952,244,-32.937635
968.994141,0.516536,235,-32.443694
990.527344,0.486211,226,-31.894529
1012.060547,0.470496,217,-31.290140
1033.593750,0.472010,209,-30.777791
1055.126953,0.482971,201,-30.216354
1076.660156,0.507262,194,-29.759227
1098.193359,0.522528,187,-29.259150
1119.726562,0.485754,181,-28.875654
1141.259766,0.456376,174,-28.292742
1162.792969,0.467612,167,-27.666877
1184.326172,0.507648,161,-27.166800
1205.859375,0.526319,156,-26.801712
1227.392578,0.535901,150,-26.231071
1248.925781,0.527613,145,-25.801557
1270.458984,0.525523,140,-25.341363
1291.992188,0.558924,135,-24.850489
1313.525391,0.549477,130,-24.328935
1335.058594,0.507169,126,-23.966916
1356.591797,0.486282,121,-23.387071
1378.125000,0.525769,116,-22.776547
1399.658203,0.584478,112,-22.334760
1421.191406,0.596855,108,-21.868430
1442.724609,0.583417,104,-21.377556
1464.257812,0.587719,100,-20.862139
1485.791016,0.593935,97,-20.533867
1507.324219,0.583449,94,-20.187187
1528.857422,0.544193,90,-19.604274
1550.390625,0.467484,86,-18.996818
1571.923828,0.464054,82,-18.364818
1593.457031,0.566794,78,-17.708274
1614.990234,0.705701,76,-17.487381
1636.523438,0.743819,73,-17.021051
1658.056641,0.675667,71,-16.772546
1679.589844,0.625583,68,-16.272468
1701.123047,0.603502,65,-15.753983
1722.656250,0.573915,63,-15.462526
1744.189453,0.500924,60,-14.910293
1765.722656,0.483627,56,-14.088080
1787.255859,0.544058,53,-13.495963
1808.789062,0.612598,51,-13.143147
1830.322266,0.651775,49,-12.778060
1851.855469,0.659874,47,-12.400701
1873.388672,0.661036,44,-11.744157
1894.921875,0.597260,42,-11.339186
1916.455078,0.522813,40,-10.921943
1937.988281,0.540387,37,-10.216312
1959.521484,0.585794,35,-9.771458
1981.054688,0.552315,33,-9.314331
2002.587891,0.551502,30,-8.559613
2024.121094,0.615182,28,-8.074875
2045.654297,0.667092,26,-7.577865
2067.187500,0.713361,25,-7.363108
2088.720703,0.745716,23,-6.844622
2110.253906,0.649009,22,-6.614525
2131.787109,0.556714,19,-5.770836
2153.320312,0.596506,17,-5.215535
2174.853516,0.683757,15,-4.647962
2196.386719,0.730640,13,-4.068117
2217.919922,0.801914,12,-3.792001
2239.453125,0.893899,10,-3.190680
2260.986328,0.957279,8,-2.577088
2282.519531,1.027240,7,-2.276427
2304.052734,1.093403,5,-1.641359
2325.585938,1.303305,4,-1.325359
2347.119141,1.690563,2,-0.668816
2368.652344,2.157715,1,-0.337476
2390.185547,2.262871,1,-0.340544
